learning rate = 0.75

Training . . . 
Episodes: 78, score: 1.0, survived: 715.0, eps: 0.9402357350888494
Episodes: 79, score: 1.0, survived: 429.0, eps: 0.9394835465007783
Episodes: 80, score: 0.0, survived: 1001.0, eps: 0.9387319596635776
Episodes: 81, score: 1.0, survived: 315.0, eps: 0.9379809740958467
Episodes: 82, score: 2.0, survived: 1039.0, eps: 0.93723058931657 --- (new best score)
Episodes: 83, score: 0.0, survived: 361.0, eps: 0.9364808048451168
Episodes: 84, score: 0.0, survived: 1001.0, eps: 0.9357316202012407
Episodes: 85, score: 0.0, survived: 902.0, eps: 0.9349830349050796
Episodes: 86, score: 0.0, survived: 290.0, eps: 0.9342350484771555
Episodes: 87, score: 0.0, survived: 299.0, eps: 0.9334876604383738
Episodes: 88, score: 1.0, survived: 458.0, eps: 0.9327408703100231
Episodes: 89, score: 0.0, survived: 1001.0, eps: 0.931994677613775
Episodes: 90, score: 1.0, survived: 147.0, eps: 0.931249081871684
Episodes: 91, score: 1.0, survived: 492.0, eps: 0.9305040826061867
Episodes: 92, score: 2.0, survived: 193.0, eps: 0.9297596793401017
Episodes: 93, score: 0.0, survived: 411.0, eps: 0.9290158715966296
Episodes: 94, score: 1.0, survived: 624.0, eps: 0.9282726588993523
Episodes: 95, score: 0.0, survived: 308.0, eps: 0.9275300407722328
Episodes: 96, score: 1.0, survived: 406.0, eps: 0.926788016739615
Episodes: 97, score: 0.0, survived: 657.0, eps: 0.9260465863262233
Episodes: 98, score: 0.0, survived: 1001.0, eps: 0.9253057490571622
Episodes: 99, score: 0.0, survived: 448.0, eps: 0.9245655044579165
Episodes: 100, score: 1.0, survived: 435.0, eps: 0.9238258520543502
Episodes: 101, score: 0.0, survived: 160.0, eps: 0.9230867913727067
Episodes: 102, score: 0.0, survived: 771.0, eps: 0.9223483219396085
Episodes: 103, score: 1.0, survived: 440.0, eps: 0.9216104432820568
Episodes: 104, score: 0.0, survived: 1001.0, eps: 0.920873154927431
Episodes: 105, score: 0.0, survived: 384.0, eps: 0.9201364564034891
Episodes: 106, score: 2.0, survived: 373.0, eps: 0.9194003472383663
Episodes: 107, score: 0.0, survived: 363.0, eps: 0.9186648269605756
Episodes: 108, score: 1.0, survived: 251.0, eps: 0.9179298950990071
Episodes: 109, score: 1.0, survived: 668.0, eps: 0.917195551182928
Episodes: 110, score: 1.0, survived: 535.0, eps: 0.9164617947419816
Episodes: 111, score: 1.0, survived: 714.0, eps: 0.915728625306188
Episodes: 112, score: 0.0, survived: 865.0, eps: 0.914996042405943
Episodes: 113, score: 1.0, survived: 140.0, eps: 0.9142640455720182
Episodes: 114, score: 1.0, survived: 362.0, eps: 0.9135326343355606
Episodes: 115, score: 1.0, survived: 508.0, eps: 0.9128018082280922
Episodes: 116, score: 0.0, survived: 230.0, eps: 0.9120715667815097
Episodes: 117, score: 0.0, survived: 261.0, eps: 0.9113419095280845
Episodes: 118, score: 1.0, survived: 202.0, eps: 0.910612836000462
Episodes: 119, score: 0.0, survived: 270.0, eps: 0.9098843457316615
Episodes: 120, score: 0.0, survived: 139.0, eps: 0.9091564382550762
Episodes: 121, score: 0.0, survived: 280.0, eps: 0.9084291131044722
Episodes: 122, score: 1.0, survived: 647.0, eps: 0.9077023698139886
Episodes: 123, score: 1.0, survived: 853.0, eps: 0.9069762079181374
Episodes: 124, score: 2.0, survived: 922.0, eps: 0.9062506269518028
Episodes: 125, score: 0.0, survived: 602.0, eps: 0.9055256264502414
Episodes: 126, score: 1.0, survived: 653.0, eps: 0.9048012059490812
Episodes: 127, score: 0.0, survived: 1001.0, eps: 0.9040773649843219
Episodes: 128, score: 1.0, survived: 531.0, eps: 0.9033541030923344
Episodes: 129, score: 1.0, survived: 493.0, eps: 0.9026314198098605
Episodes: 130, score: 1.0, survived: 490.0, eps: 0.9019093146740126
Episodes: 131, score: 0.0, survived: 407.0, eps: 0.9011877872222733
Episodes: 132, score: 0.0, survived: 517.0, eps: 0.9004668369924955
Episodes: 133, score: 1.0, survived: 862.0, eps: 0.8997464635229016
Episodes: 134, score: 0.0, survived: 86.0, eps: 0.8990266663520832
Episodes: 135, score: 0.0, survived: 170.0, eps: 0.8983074450190015
Episodes: 136, score: 1.0, survived: 307.0, eps: 0.8975887990629863
Episodes: 137, score: 1.0, survived: 345.0, eps: 0.8968707280237359
Episodes: 138, score: 0.0, survived: 160.0, eps: 0.8961532314413169
Episodes: 139, score: 0.0, survived: 285.0, eps: 0.8954363088561638
Episodes: 140, score: 0.0, survived: 304.0, eps: 0.8947199598090788
Episodes: 141, score: 0.0, survived: 207.0, eps: 0.8940041838412315
Episodes: 142, score: 1.0, survived: 357.0, eps: 0.8932889804941585
Episodes: 143, score: 1.0, survived: 300.0, eps: 0.8925743493097632
Episodes: 144, score: 0.0, survived: 383.0, eps: 0.8918602898303154
Episodes: 145, score: 1.0, survived: 309.0, eps: 0.8911468015984512
Episodes: 146, score: 1.0, survived: 515.0, eps: 0.8904338841571724
Episodes: 147, score: 0.0, survived: 183.0, eps: 0.8897215370498467
Episodes: 148, score: 1.0, survived: 335.0, eps: 0.8890097598202068
Episodes: 149, score: 0.0, survived: 251.0, eps: 0.8882985520123506
Episodes: 150, score: 2.0, survived: 146.0, eps: 0.8875879131707407
Episodes: 151, score: 0.0, survived: 342.0, eps: 0.8868778428402041
Episodes: 152, score: 1.0, survived: 666.0, eps: 0.886168340565932
Episodes: 153, score: 0.0, survived: 274.0, eps: 0.8854594058934792
Episodes: 154, score: 0.0, survived: 396.0, eps: 0.8847510383687643
Episodes: 155, score: 0.0, survived: 320.0, eps: 0.8840432375380693
Episodes: 156, score: 1.0, survived: 398.0, eps: 0.8833360029480388
Episodes: 157, score: 1.0, survived: 426.0, eps: 0.8826293341456803
Episodes: 158, score: 1.0, survived: 266.0, eps: 0.8819232306783638
Episodes: 159, score: 1.0, survived: 681.0, eps: 0.8812176920938211
Episodes: 160, score: 0.0, survived: 839.0, eps: 0.880512717940146
Episodes: 161, score: 1.0, survived: 324.0, eps: 0.8798083077657938
Episodes: 162, score: 1.0, survived: 145.0, eps: 0.8791044611195811
Episodes: 163, score: 0.0, survived: 271.0, eps: 0.8784011775506854
Episodes: 164, score: 1.0, survived: 211.0, eps: 0.8776984566086448
Episodes: 165, score: 1.0, survived: 456.0, eps: 0.8769962978433579
Episodes: 166, score: 0.0, survived: 455.0, eps: 0.8762947008050832
Episodes: 167, score: 0.0, survived: 148.0, eps: 0.8755936650444391
Episodes: 168, score: 1.0, survived: 707.0, eps: 0.8748931901124035
Episodes: 169, score: 0.0, survived: 188.0, eps: 0.8741932755603136
Episodes: 170, score: 0.0, survived: 153.0, eps: 0.8734939209398653
Episodes: 171, score: 1.0, survived: 250.0, eps: 0.8727951258031135
Episodes: 172, score: 0.0, survived: 253.0, eps: 0.872096889702471
Episodes: 173, score: 0.0, survived: 174.0, eps: 0.871399212190709
Episodes: 174, score: 1.0, survived: 557.0, eps: 0.8707020928209565
Episodes: 175, score: 1.0, survived: 602.0, eps: 0.8700055311466997
Episodes: 176, score: 0.0, survived: 216.0, eps: 0.8693095267217823
Episodes: 177, score: 0.0, survived: 364.0, eps: 0.8686140791004049
Episodes: 178, score: 1.0, survived: 553.0, eps: 0.8679191878371245
Episodes: 179, score: 1.0, survived: 215.0, eps: 0.8672248524868548
Episodes: 180, score: 2.0, survived: 464.0, eps: 0.8665310726048653
Episodes: 181, score: 1.0, survived: 738.0, eps: 0.8658378477467814
Episodes: 182, score: 1.0, survived: 161.0, eps: 0.865145177468584
Episodes: 183, score: 0.0, survived: 102.0, eps: 0.8644530613266092
Episodes: 184, score: 0.0, survived: 266.0, eps: 0.8637614988775478
Episodes: 185, score: 0.0, survived: 532.0, eps: 0.8630704896784458
Episodes: 186, score: 1.0, survived: 823.0, eps: 0.862380033286703
Episodes: 187, score: 0.0, survived: 146.0, eps: 0.8616901292600736
Episodes: 188, score: 1.0, survived: 372.0, eps: 0.8610007771566656
Episodes: 189, score: 0.0, survived: 540.0, eps: 0.8603119765349402
Episodes: 190, score: 1.0, survived: 189.0, eps: 0.8596237269537123
Episodes: 191, score: 0.0, survived: 130.0, eps: 0.8589360279721493
Episodes: 192, score: 1.0, survived: 281.0, eps: 0.8582488791497715
Episodes: 193, score: 1.0, survived: 289.0, eps: 0.8575622800464517
Episodes: 194, score: 1.0, survived: 470.0, eps: 0.8568762302224145
Episodes: 195, score: 0.0, survived: 451.0, eps: 0.8561907292382366
Episodes: 196, score: 0.0, survived: 867.0, eps: 0.855505776654846
Episodes: 197, score: 0.0, survived: 163.0, eps: 0.854821372033522
Episodes: 198, score: 1.0, survived: 744.0, eps: 0.8541375149358952
Episodes: 199, score: 0.0, survived: 297.0, eps: 0.8534542049239464
Episodes: 200, score: 1.0, survived: 637.0, eps: 0.8527714415600073
Episodes: 201, score: 1.0, survived: 720.0, eps: 0.8520892244067593
Episodes: 202, score: 2.0, survived: 435.0, eps: 0.8514075530272338
Episodes: 203, score: 1.0, survived: 146.0, eps: 0.850726426984812
Episodes: 204, score: 1.0, survived: 518.0, eps: 0.8500458458432242
Episodes: 205, score: 0.0, survived: 1001.0, eps: 0.8493658091665496
Episodes: 206, score: 0.0, survived: 273.0, eps: 0.8486863165192163
Episodes: 207, score: 1.0, survived: 896.0, eps: 0.8480073674660009
