Training . . . 
Episodes: 89, score: 0.0, survived: 340.0, eps: 0.931994677613775
Episodes: 90, score: 1.0, survived: 733.0, eps: 0.931249081871684
Episodes: 91, score: 0.0, survived: 1001.0, eps: 0.9305040826061867
Episodes: 92, score: 0.0, survived: 786.0, eps: 0.9297596793401017
Episodes: 93, score: 0.0, survived: 1001.0, eps: 0.9290158715966296
Episodes: 94, score: 1.0, survived: 129.0, eps: 0.9282726588993523
Episodes: 95, score: 1.0, survived: 615.0, eps: 0.9275300407722328
Episodes: 96, score: 0.0, survived: 548.0, eps: 0.926788016739615
Episodes: 97, score: 0.0, survived: 544.0, eps: 0.9260465863262233
Episodes: 98, score: 1.0, survived: 273.0, eps: 0.9253057490571622
Episodes: 99, score: 0.0, survived: 1001.0, eps: 0.9245655044579165
Episodes: 100, score: 0.0, survived: 169.0, eps: 0.9238258520543502
Episodes: 101, score: 0.0, survived: 1001.0, eps: 0.9230867913727067
Episodes: 102, score: 1.0, survived: 751.0, eps: 0.9223483219396085
Episodes: 103, score: 1.0, survived: 414.0, eps: 0.9216104432820568
Episodes: 104, score: 0.0, survived: 868.0, eps: 0.920873154927431
Episodes: 105, score: 0.0, survived: 1001.0, eps: 0.9201364564034891
Episodes: 106, score: 1.0, survived: 842.0, eps: 0.9194003472383663
Episodes: 107, score: 0.0, survived: 277.0, eps: 0.9186648269605756
Episodes: 108, score: 1.0, survived: 401.0, eps: 0.9179298950990071
Episodes: 109, score: 1.0, survived: 329.0, eps: 0.917195551182928
Episodes: 110, score: 1.0, survived: 468.0, eps: 0.9164617947419816
Episodes: 111, score: 0.0, survived: 678.0, eps: 0.915728625306188
Episodes: 112, score: 1.0, survived: 146.0, eps: 0.914996042405943
Episodes: 113, score: 0.0, survived: 235.0, eps: 0.9142640455720182
Episodes: 114, score: 0.0, survived: 134.0, eps: 0.9135326343355606
Episodes: 115, score: 2.0, survived: 1325.0, eps: 0.9128018082280922 --- (new best score)
Episodes: 116, score: 0.0, survived: 618.0, eps: 0.9120715667815097
Episodes: 117, score: 0.0, survived: 498.0, eps: 0.9113419095280845
Episodes: 118, score: 0.0, survived: 434.0, eps: 0.910612836000462
Episodes: 119, score: 0.0, survived: 1001.0, eps: 0.9098843457316615
Episodes: 120, score: 0.0, survived: 168.0, eps: 0.9091564382550762
Episodes: 121, score: 2.0, survived: 255.0, eps: 0.9084291131044722
Episodes: 122, score: 1.0, survived: 431.0, eps: 0.9077023698139886
Episodes: 123, score: 0.0, survived: 1001.0, eps: 0.9069762079181374
Episodes: 124, score: 1.0, survived: 559.0, eps: 0.9062506269518028
Episodes: 125, score: 1.0, survived: 757.0, eps: 0.9055256264502414
Episodes: 126, score: 0.0, survived: 195.0, eps: 0.9048012059490812
Episodes: 127, score: 1.0, survived: 415.0, eps: 0.9040773649843219
Episodes: 128, score: 0.0, survived: 1001.0, eps: 0.9033541030923344
Episodes: 129, score: 1.0, survived: 153.0, eps: 0.9026314198098605
Episodes: 130, score: 0.0, survived: 265.0, eps: 0.9019093146740126
Episodes: 131, score: 0.0, survived: 236.0, eps: 0.9011877872222733
Episodes: 132, score: 1.0, survived: 453.0, eps: 0.9004668369924955
Episodes: 133, score: 1.0, survived: 840.0, eps: 0.8997464635229016
Episodes: 134, score: 1.0, survived: 294.0, eps: 0.8990266663520832
Episodes: 135, score: 1.0, survived: 801.0, eps: 0.8983074450190015
Episodes: 136, score: 1.0, survived: 796.0, eps: 0.8975887990629863
Episodes: 137, score: 0.0, survived: 644.0, eps: 0.8968707280237359
Episodes: 138, score: 1.0, survived: 621.0, eps: 0.8961532314413169
Episodes: 139, score: 1.0, survived: 387.0, eps: 0.8954363088561638
Episodes: 140, score: 1.0, survived: 1214.0, eps: 0.8947199598090788
Episodes: 141, score: 1.0, survived: 543.0, eps: 0.8940041838412315
Episodes: 142, score: 0.0, survived: 342.0, eps: 0.8932889804941585
Episodes: 143, score: 0.0, survived: 888.0, eps: 0.8925743493097632
Episodes: 144, score: 0.0, survived: 310.0, eps: 0.8918602898303154
Episodes: 145, score: 1.0, survived: 365.0, eps: 0.8911468015984512
Episodes: 146, score: 0.0, survived: 513.0, eps: 0.8904338841571724
Episodes: 147, score: 0.0, survived: 110.0, eps: 0.8897215370498467
Episodes: 148, score: 1.0, survived: 387.0, eps: 0.8890097598202068
Episodes: 149, score: 0.0, survived: 442.0, eps: 0.8882985520123506
