Starting Training
Epoch: 86/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 87/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 88/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 89/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 90/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 91/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 92/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 93/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 94/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 95/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 96/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 97/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 98/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 99/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 100/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 101/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 102/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 103/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 104/3000, Score: 30, Tetrominoes 22, Cleared lines: 1
Model 104 saved
Epoch: 105/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 106/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 107/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 108/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 109/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 110/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 111/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 112/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 113/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 114/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 115/3000, Score: 8, Tetrominoes 10, Cleared lines: 0
Epoch: 116/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 117/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 118/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 119/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 120/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 121/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 122/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 123/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 124/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 125/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 126/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 127/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 128/3000, Score: 23, Tetrominoes 25, Cleared lines: 0
Epoch: 129/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 130/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 131/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 132/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 133/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
