Starting Training
Epoch: 32/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 33/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 34/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 35/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 36/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 37/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 38/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 39/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 40/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 41/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 42/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 43/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 44/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 45/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 46/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 47/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 48/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 49/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 50/3000, Score: 23, Tetrominoes 25, Cleared lines: 0
Epoch: 51/3000, Score: 23, Tetrominoes 25, Cleared lines: 0
Epoch: 52/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 53/3000, Score: 23, Tetrominoes 25, Cleared lines: 0
Epoch: 54/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 55/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 56/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 57/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 58/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 59/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 60/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 61/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 62/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 63/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 64/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 65/3000, Score: 28, Tetrominoes 20, Cleared lines: 1
Model 65 saved
Epoch: 66/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 67/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 68/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 69/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 70/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 71/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
